,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,SalePrice,IsRemodelled,BuiltOrRemodelAge,OldOrNewGarage,num_LotShape,num_ExterQual,num_BsmtQual,num_BsmtExposure,num_BsmtFinType1,num_HouseStyle,num_Fence,num_LotConfig,num_MasVnrType,num_SaleCondition,num_HeatingQC,num_KitchenQual,num_FireplaceQu,num_GarageFinish,num_BldgType,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing
10,20,70.0,11200,5,5,0.0,906,134,1040,1040,0,1040,1,1,0,3,0,1,0,0,11.771443882099637,0,43,0,3,3,3,1,3,1,0,5,0,1,5,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,60,85.0,11924,9,5,286.0,998,177,1175,1182,1142,2324,1,3,0,4,2,3,147,21,12.75130259456002,1,0,1,2,5,5,1,6,4,0,5,1,1,5,5,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,20,70.04995836802665,12968,5,6,0.0,737,175,912,912,0,912,1,1,0,2,0,1,140,0,11.87757552297847,0,46,0,1,3,3,1,5,1,0,5,0,1,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,20,91.0,10652,7,5,306.0,0,1494,1494,1494,0,1494,0,2,0,3,1,3,160,33,12.540761149388421,1,0,1,2,4,4,3,1,1,0,5,1,1,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,20,70.04995836802665,10920,6,5,212.0,733,520,1253,1253,0,1253,1,1,1,2,1,1,0,213,11.964007453736912,0,48,0,2,3,3,1,4,1,3,4,1,1,3,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,45,51.0,6120,7,8,0.0,0,832,832,854,0,854,0,1,0,2,0,2,48,112,11.790564777297387,1,6,0,3,3,3,1,1,2,4,4,0,1,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,20,70.04995836802665,11241,6,7,180.0,578,426,1004,1004,0,1004,1,1,0,2,1,2,0,0,11.91170829631447,0,40,0,2,3,3,1,5,1,0,3,1,1,5,3,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,90,72.0,10791,4,5,0.0,0,0,0,1296,0,1296,0,2,0,2,0,2,0,0,11.407576060361786,0,39,0,3,3,0,0,0,1,0,5,0,1,3,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,20,66.0,13695,5,5,0.0,646,468,1114,1114,0,1114,1,1,1,3,0,2,0,102,11.976665770490767,0,4,1,3,3,3,1,6,1,0,5,0,1,5,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,20,70.0,7560,5,6,0.0,504,525,1029,1339,0,1339,0,1,0,3,0,1,0,0,11.842236406331555,1,44,0,3,3,3,1,2,1,2,5,0,0,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,60,101.0,14215,8,5,380.0,0,1158,1158,1158,1218,2376,0,3,1,4,1,3,240,154,12.692506186542177,1,0,1,2,4,5,3,1,4,0,4,1,1,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,45,57.0,7449,7,7,0.0,0,637,637,1108,0,1108,0,1,0,3,1,1,0,0,11.845109950883979,1,57,0,3,3,3,1,1,2,4,5,0,1,5,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,20,75.0,9742,8,5,281.0,0,1777,1777,1795,0,1795,0,2,0,3,1,2,171,159,12.345838935721968,0,6,1,3,4,4,1,1,1,0,5,1,1,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,120,44.0,4224,5,7,0.0,840,200,1040,1060,0,1060,1,1,0,3,1,2,100,110,11.774527900858468,0,31,0,3,3,4,1,6,1,0,5,0,1,3,3,3,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,20,70.04995836802665,8246,5,8,0.0,188,204,1060,1060,0,1060,1,1,0,3,1,1,406,90,11.944714374881176,1,9,0,2,3,3,2,3,1,2,5,0,1,5,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,20,110.0,14230,8,5,640.0,0,1566,1566,1600,0,1600,0,2,0,3,1,3,0,56,12.454107814022272,0,2,1,3,4,4,1,1,1,0,4,1,1,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,20,60.0,7200,5,7,0.0,234,180,900,900,0,900,0,1,0,3,0,2,222,32,11.811554895830454,1,10,1,3,3,3,2,4,1,0,4,0,1,3,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,20,98.0,11478,8,5,200.0,1218,486,1704,1704,0,1704,1,2,0,3,1,3,0,50,12.631343648903034,1,2,1,3,4,5,1,6,1,0,5,1,1,5,4,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,20,47.0,16321,5,6,0.0,1277,207,1484,1600,0,1600,1,1,0,2,2,1,288,258,12.242891437918386,1,9,0,2,3,3,4,4,1,0,3,0,1,3,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,30,60.0,6324,4,6,0.0,0,520,520,520,0,520,0,1,0,1,0,1,49,0,11.134603622683905,1,58,0,2,3,3,1,1,1,0,5,0,1,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,70,50.0,8500,4,4,0.0,0,649,649,649,668,1317,0,1,0,3,0,1,0,54,10.596659732783579,1,58,0,3,3,3,1,1,4,2,5,0,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,20,70.04995836802665,8544,5,6,0.0,0,1228,1228,1228,0,1228,0,1,1,3,0,1,0,65,11.914054519303125,1,2,0,2,3,3,1,1,1,2,3,0,1,4,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,20,85.0,11049,8,5,0.0,0,1234,1234,1234,0,1234,0,2,0,3,0,2,0,30,12.100161978566867,0,1,1,3,4,5,3,1,1,0,4,0,1,5,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,20,70.0,10552,5,5,0.0,1018,380,1398,1700,0,1700,0,1,1,4,1,2,0,38,12.016732516077072,0,51,0,2,3,3,1,3,1,0,5,0,1,4,4,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,120,60.0,7313,9,5,246.0,1153,408,1561,1561,0,1561,1,2,0,2,1,2,203,47,12.533579815765737,0,2,1,3,5,5,1,6,1,0,5,1,1,5,5,4,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,60,108.0,13418,8,5,132.0,0,1117,1117,1132,1320,2452,0,3,1,4,1,3,113,32,12.6410997921206,1,1,1,3,4,5,3,1,4,0,5,1,1,5,4,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,20,112.0,10859,5,5,0.0,0,1097,1097,1097,0,1097,0,1,1,3,0,2,392,64,11.884495917930655,1,14,0,3,3,4,1,1,1,0,4,0,1,5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,20,68.0,7922,5,7,0.0,731,326,1057,1057,0,1057,1,1,0,3,0,1,0,52,11.599112335481124,1,3,0,3,3,3,1,6,1,0,5,0,0,3,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,90,65.0,6040,4,5,0.0,0,0,0,1152,0,1152,0,2,0,2,0,0,0,0,11.314486721293981,0,53,0,3,3,0,0,0,1,0,5,0,0,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,84.0,8658,6,5,101.0,643,445,1088,1324,0,1324,0,2,0,3,1,2,0,138,11.982935344196433,0,41,0,3,3,3,1,3,1,3,5,1,0,5,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,20,115.0,16905,5,6,0.0,967,383,1350,1328,0,1328,0,1,1,2,2,1,0,104,12.04355959836804,0,48,0,3,3,3,4,4,1,0,5,0,1,4,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,85,70.04995836802665,9180,5,7,0.0,747,0,840,884,0,884,1,1,0,2,0,2,240,0,11.87757552297847,0,24,0,2,3,4,3,5,7,2,3,0,1,4,4,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,20,70.04995836802665,9200,5,6,0.0,280,167,938,938,0,938,1,1,0,3,0,1,145,0,11.777218637129327,1,28,0,2,3,4,3,2,1,2,3,0,1,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,20,70.0,7945,5,6,0.0,179,465,1150,1150,0,1150,1,1,0,3,0,1,0,0,11.856522261533737,0,47,0,3,3,3,1,5,1,0,5,0,1,5,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,120,61.0,7658,9,5,412.0,456,1296,1752,1752,0,1752,1,2,0,2,1,2,196,82,12.675766851909591,0,5,1,3,5,5,1,6,1,0,5,1,1,5,5,4,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,50,48.0,12822,7,5,0.0,1351,83,1434,1518,631,2149,1,1,1,1,1,2,168,43,12.387089184491993,0,6,1,2,4,5,1,6,3,0,3,0,0,5,4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,20,84.0,11096,8,5,0.0,24,1632,1656,1656,0,1656,0,2,0,3,0,3,0,146,12.428019481065613,0,1,1,3,4,4,3,6,1,0,5,0,1,5,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,190,33.0,4456,4,5,0.0,0,736,736,736,716,1452,0,2,0,2,0,0,0,0,11.635151947212842,1,1,0,3,3,3,1,1,4,0,5,0,1,4,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
